##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR3077933_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1042773
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	65
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.009119913921822	32.0	32.0	33.0	29.0	34.0
2	31.313893819652023	32.0	32.0	33.0	29.0	34.0
3	31.38665366287773	33.0	32.0	33.0	29.0	34.0
4	31.46352370074791	33.0	32.0	33.0	29.0	34.0
5	31.40383765210645	33.0	32.0	33.0	29.0	34.0
6	32.315824249381215	33.0	32.0	37.0	19.0	37.0
7	32.4978120837421	34.0	32.0	37.0	29.0	37.0
8	32.438039726766995	34.0	32.0	37.0	20.0	37.0
9	32.26981039977061	34.0	32.0	37.0	18.0	37.0
10-14	34.0443772518084	35.6	33.8	37.4	30.4	37.4
15-19	35.349342570242996	38.0	36.0	38.0	31.2	38.0
20-24	34.60025106135275	38.0	35.4	38.0	20.0	38.4
25-29	35.218343397844016	38.0	36.0	38.0	30.0	39.0
30-34	34.79587216009621	38.0	35.4	38.0	22.4	39.0
35-39	34.61805507194085	38.0	35.2	38.0	20.0	39.0
40-44	35.11044490500015	38.0	36.0	38.0	29.4	39.0
45-49	35.01472994424172	38.0	36.0	38.0	24.8	39.0
50-54	34.68668735925845	38.0	36.0	38.0	21.6	39.0
55-59	34.83133189358368	38.0	36.0	38.0	26.8	39.0
60-64	34.55688727688357	38.0	35.2	38.0	20.6	39.0
65-69	34.611994206064566	38.0	34.8	38.0	21.0	39.0
70-74	34.18394407253093	38.0	34.0	38.0	16.2	39.0
75-79	33.636982487733704	37.8	33.4	38.0	15.4	39.0
80-84	33.7451360981644	37.8	33.8	38.0	15.8	39.0
85-89	33.423806499368	37.6	33.2	38.0	15.0	39.0
90-94	32.87315214035746	37.0	31.6	38.0	14.0	39.0
95-99	32.94863003580701	37.0	32.0	38.0	14.2	39.0
100-104	32.32239002197345	36.8	30.6	38.0	13.8	39.0
105-109	31.898708967616045	36.4	30.0	38.0	13.6	39.0
110-114	32.15387539729373	37.0	30.8	38.0	13.6	39.0
115-119	31.287066947455127	35.6	27.4	38.0	13.0	38.6
120-124	30.84055754389821	35.0	26.0	38.0	13.0	38.0
125-129	30.805139953546938	35.0	26.0	38.0	13.0	38.0
130-134	30.176153418192875	34.4	25.2	37.2	12.6	38.0
135-139	29.51088455022353	33.2	24.0	37.0	12.0	38.0
140-144	29.133144334759912	33.0	24.0	37.0	12.0	38.0
145-149	28.397458852336587	32.6	22.2	37.0	12.0	37.4
150-151	25.910608040648665	28.0	14.0	35.0	12.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.02452709993329094
1101	2	0.4781874049342676
1101	3	0.3059786404563738
1101	4	0.5140523086407534
1101	5	0.499972972847317
1101	6	1.126742339373095
1101	7	1.102750122898584
1101	8	1.1500720931013362
1101	9	1.396637798457391
1101	10-14	0.6406211688401768
1101	15-19	0.7794939872083759
1101	20-24	1.5811115814102124
1101	25-29	1.1139738040564424
1101	30-34	1.4056120767354443
1101	35-39	1.4528010016388109
1101	40-44	0.9159181178855818
1101	45-49	0.779358459675116
1101	50-54	0.9304389889020968
1101	55-59	0.7203870119740898
1101	60-64	0.8358408552044878
1101	65-69	0.5775295710028061
1101	70-74	0.6038270506099153
1101	75-79	0.9627336143077869
1101	80-84	0.7287890201425782
1101	85-89	0.7255943515256078
1101	90-94	0.9150147161744471
1101	95-99	0.5442114793166013
1101	100-104	0.8149718591005666
1101	105-109	0.9487889434057308
1101	110-114	0.5160854419315228
1101	115-119	0.9001268346032454
1101	120-124	0.8443203075411283
1101	125-129	0.4374026805634905
1101	130-134	0.42166777072375083
1101	135-139	0.5480609303488535
1101	140-144	0.438631200410569
1101	145-149	0.4104784871325293
1101	150-151	-0.0791456933580541
1102	1	0.27359755916559436
1102	2	0.24366545547466956
1102	3	0.2918103558848024
1102	4	0.2844859913853952
1102	5	0.2129501144129442
1102	6	-0.4628736591444671
1102	7	0.7104988696364529
1102	8	-0.07278437592122344
1102	9	-0.30338346944660444
1102	10-14	0.011798245549222486
1102	15-19	0.25321521061121643
1102	20-24	-0.09395228547376178
1102	25-29	0.5948131773341316
1102	30-34	0.01635549877628506
1102	35-39	-0.01939907348746317
1102	40-44	0.4273257680593261
1102	45-49	-0.12669881862592547
1102	50-54	-0.27459867598495435
1102	55-59	0.3202393097060252
1102	60-64	-0.016717590514595315
1102	65-69	0.3271165596436916
1102	70-74	0.36216126730166565
1102	75-79	-0.00999526759926539
1102	80-84	0.3423600595064542
1102	85-89	0.3068991997004602
1102	90-94	0.15642928172339055
1102	95-99	0.4256340509035539
1102	100-104	0.28706107275846193
1102	105-109	-0.5121243400059967
1102	110-114	0.3563282252902198
1102	115-119	0.19976121517930778
1102	120-124	-0.03382962519474475
1102	125-129	0.3396277092100206
1102	130-134	0.33633195427928797
1102	135-139	0.5748212076848347
1102	140-144	0.56192229700304
1102	145-149	0.15888025295798158
1102	150-151	0.15094942840459424
1103	1	-0.0025305707841916103
1103	2	0.15302076164526213
1103	3	0.12808238769823532
1103	4	0.21521426287799628
1103	5	0.16794118373522338
1103	6	0.9981414050553141
1103	7	-2.0921516881096487
1103	8	-1.8521620930377978
1103	9	-1.5246351123542965
1103	10-14	0.3743972412692358
1103	15-19	0.09470663379052979
1103	20-24	-1.7749456127409786
1103	25-29	0.5473946487054064
1103	30-34	-0.20134628398918153
1103	35-39	-1.1460725103515443
1103	40-44	0.7507809953022289
1103	45-49	-0.5929863474027357
1103	50-54	-0.9884407619228455
1103	55-59	0.4937287480493069
1103	60-64	-0.5933035218144198
1103	65-69	0.47046955632141874
1103	70-74	0.6587079855318265
1103	75-79	-1.148302841507494
1103	80-84	-0.0840094826395088
1103	85-89	-0.018129887409699563
1103	90-94	-0.5836099701514854
1103	95-99	0.5746342096829054
1103	100-104	-0.22484924698314757
1103	105-109	-1.662661275485494
1103	110-114	0.27847654093212526
1103	115-119	-0.20258814243310397
1103	120-124	0.2248737277610644
1103	125-129	0.7056608850208619
1103	130-134	0.143479091306574
1103	135-139	-0.011105085840828366
1103	140-144	0.5655816839084267
1103	145-149	-0.1867189807209897
1103	150-151	0.6704988742158235
1104	1	0.3052895953815664
1104	2	0.4217752779295729
1104	3	0.08986387269160545
1104	4	0.5229207889995706
1104	5	0.38323462075742043
1104	6	0.6130007761986676
1104	7	0.7820954116959058
1104	8	0.9467074537757583
1104	9	1.4120925122839836
1104	10-14	0.7109389094715794
1104	15-19	0.6925394036702812
1104	20-24	1.3735302425190241
1104	25-29	0.8683973950530088
1104	30-34	1.0853675754054066
1104	35-39	1.187132148642526
1104	40-44	0.7238526080399268
1104	45-49	0.6085477232906484
1104	50-54	0.8069912479314709
1104	55-59	0.36221579970484186
1104	60-64	0.6749218298618374
1104	65-69	0.39556096701299026
1104	70-74	0.22881724394554226
1104	75-79	0.6985493980367892
1104	80-84	0.44068649526889203
1104	85-89	0.4892709023716222
1104	90-94	0.7888826323347402
1104	95-99	0.3917970930872414
1104	100-104	0.3469716842921571
1104	105-109	0.23769531526883725
1104	110-114	0.39449744849817137
1104	115-119	1.0227897024209902
1104	120-124	0.9977329786610589
1104	125-129	0.7330813061135011
1104	130-134	0.8407798610388824
1104	135-139	1.0131514563301671
1104	140-144	0.8632523340233789
1104	145-149	1.1399472149095757
1104	150-151	1.0723508184598458
1105	1	0.4058859189539561
1105	2	0.3944326512418641
1105	3	0.32767014424458907
1105	4	0.3138642982637023
1105	5	0.328532124994954
1105	6	-0.4560482623190687
1105	7	-0.6938926647550829
1105	8	0.712652132015279
1105	9	-0.1414787075418431
1105	10-14	0.13576914502012016
1105	15-19	0.5042416656376716
1105	20-24	1.4235635875421053
1105	25-29	0.6302867223076731
1105	30-34	0.9266041760249664
1105	35-39	1.5242027456260558
1105	40-44	0.8284862504405766
1105	45-49	0.9107719801586001
1105	50-54	0.9701104153153537
1105	55-59	0.5005051576154571
1105	60-64	0.8927089089342317
1105	65-69	0.8499207381936813
1105	70-74	0.7673561010587235
1105	75-79	1.194010829479211
1105	80-84	0.941204948882671
1105	85-89	1.1316160684752319
1105	90-94	1.3588376944623448
1105	95-99	0.9360531258739897
1105	100-104	1.3406287270196557
1105	105-109	1.1738977719215455
1105	110-114	0.8678883340766959
1105	115-119	1.1198228896173283
1105	120-124	1.1544161202584107
1105	125-129	0.7342606614458909
1105	130-134	1.1379070969877247
1105	135-139	1.0526610774223357
1105	140-144	0.9733948801281151
1105	145-149	1.255068310927605
1105	150-151	0.4834121732490786
1106	1	0.3868020318139287
1106	2	0.34198599157065246
1106	3	0.4165406700694696
1106	4	0.3191245874090889
1106	5	0.23636295162431153
