##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ERR3077935_2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	620201
Sequences flagged as poor quality	0
Sequence length	35-151
%GC	65
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	27.174875564534723	32.0	18.0	32.0	16.0	32.0
2	28.11948706951456	32.0	29.0	32.0	16.0	33.0
3	28.124071067283026	32.0	29.0	32.0	16.0	33.0
4	28.124485449072157	32.0	29.0	32.0	16.0	33.0
5	28.037458823832917	32.0	29.0	32.0	16.0	33.0
6	28.707143329340003	32.0	18.0	35.0	16.0	37.0
7	28.81181423441755	32.0	18.0	35.0	16.0	37.0
8	28.671422651688726	32.0	18.0	35.0	16.0	37.0
9	28.31623457556502	32.0	16.0	35.0	16.0	37.0
10-14	30.300004353427358	33.8	28.0	36.2	16.0	37.4
15-19	31.06223079292036	36.0	26.0	38.0	15.2	38.0
20-24	29.87024206668483	34.0	16.4	37.6	15.0	38.0
25-29	30.47847036686494	35.8	17.8	38.0	14.8	38.6
30-34	29.902025633625225	34.8	16.8	37.4	14.0	38.4
35-39	29.68927102522474	34.2	16.4	37.0	14.0	38.0
40-44	30.375383745679688	35.6	21.8	38.0	14.0	38.4
45-49	30.247005161395816	35.4	22.0	37.8	14.0	38.6
50-54	29.68131089124325	34.4	16.4	37.2	14.0	38.0
55-59	29.87323569639189	34.8	16.8	38.0	14.0	38.0
60-64	29.51860433852803	34.0	16.4	37.4	14.0	38.0
65-69	29.60852024335785	34.0	16.4	37.8	14.0	38.0
70-74	28.949554181805667	33.2	16.0	37.0	14.0	38.0
75-79	28.2221612038361	32.8	16.0	37.0	14.0	38.0
80-84	28.33216419279251	32.8	15.8	37.0	14.0	38.0
85-89	27.83601103365077	31.6	15.6	37.0	14.0	38.0
90-94	27.09680795993652	30.2	15.0	37.0	13.0	38.0
95-99	27.11221017192916	30.2	15.0	37.0	13.0	38.0
100-104	26.271956616991098	29.2	14.4	36.0	12.2	38.0
105-109	25.73751718790819	27.2	14.0	35.0	12.0	38.0
110-114	25.8940370675908	28.4	14.0	35.4	12.0	38.0
115-119	24.849159440070075	26.2	13.6	34.2	12.0	38.0
120-124	24.277334997298134	26.0	13.0	34.0	12.0	37.4
125-129	24.11122728988206	25.0	13.0	34.0	12.0	37.0
130-134	23.4303436075668	24.4	13.0	33.0	12.0	37.0
135-139	22.724131612983996	24.0	13.0	32.0	12.0	37.0
140-144	22.272458312434058	24.0	12.8	31.8	12.0	37.0
145-149	21.559260218460842	20.4	12.0	31.0	12.0	36.2
150-151	20.3131343774837	14.5	12.0	28.0	12.0	34.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.09823210598981902
1101	2	0.5559548315309968
1101	3	0.34497795884938753
1101	4	0.8010416092326729
1101	5	0.41110900186658483
1101	6	1.9942405522291153
1101	7	1.9320155627547955
1101	8	2.1973162403013617
1101	9	2.578213358320557
1101	10-14	1.2609579941729798
1101	15-19	1.2245540680424334
1101	20-24	2.5600296449368827
1101	25-29	1.7451278167405455
1101	30-34	2.02778497525156
1101	35-39	2.0744549882653196
1101	40-44	1.2718829053719674
1101	45-49	0.8329673952837311
1101	50-54	0.990219911072316
1101	55-59	0.8529037847423275
1101	60-64	0.841660691139726
1101	65-69	0.636319870252386
1101	70-74	0.8028307324960409
1101	75-79	1.0448117738675364
1101	80-84	0.7912352067290378
1101	85-89	0.6490231611415496
1101	90-94	0.8656898166638634
1101	95-99	0.4846216278988855
1101	100-104	0.5146274953220953
1101	105-109	0.6518865309016917
1101	110-114	0.18153815990672584
1101	115-119	0.3693087919296367
1101	120-124	0.32866564975481793
1101	125-129	-0.12936633744465098
1101	130-134	-0.07191958280221655
1101	135-139	0.14546916720883374
1101	140-144	-0.3285141560947764
1101	145-149	-0.23736495781444233
1101	150-151	-0.5078237828466499
1102	1	0.05713036950463746
1102	2	0.40597023624466644
1102	3	0.4236953572256077
1102	4	0.5027536839463949
1102	5	0.13074390154661586
1102	6	-0.9325775912533132
1102	7	0.9606931154191223
1102	8	-0.7093437595953667
1102	9	-0.8609667666727745
1102	10-14	-0.13932899822449585
1102	15-19	0.25900616798890397
1102	20-24	-0.2578861575454283
1102	25-29	0.9988210753280242
1102	30-34	-0.07222586828990174
1102	35-39	-0.1753623853317201
1102	40-44	0.47063033848627356
1102	45-49	-0.15739442665619308
1102	50-54	-0.3332692066150251
1102	55-59	0.5412464396872565
1102	60-64	-0.08254551096490914
1102	65-69	0.5047457809462799
1102	70-74	0.34631180891108215
1102	75-79	-0.1462554374260172
1102	80-84	0.3898711587969039
1102	85-89	0.47425956985066264
1102	90-94	0.08337570855778154
1102	95-99	0.6145312694091025
1102	100-104	0.3225111539187999
1102	105-109	-0.3198973255606816
1102	110-114	0.5417703596665575
1102	115-119	0.0172551532533447
1102	120-124	-0.019380588589218206
1102	125-129	0.34938821027474276
1102	130-134	0.46328894299117707
1102	135-139	0.39131510347922216
1102	140-144	0.49194188867299715
1102	145-149	0.01697105539512833
1102	150-151	-0.13170591143762067
1103	1	-0.2263182786832374
1103	2	0.3505264042870593
1103	3	0.19706615012770712
1103	4	0.06852151039161924
1103	5	0.2603537726875942
1103	6	1.5476208118608987
1103	7	-2.3814758930625572
1103	8	-2.6296710217318413
1103	9	-2.077271624103833
1103	10-14	0.7142669072694154
1103	15-19	0.2993327197669373
1103	20-24	-2.470468736714878
1103	25-29	0.9235298283648063
1103	30-34	-0.16665069105547303
