# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
35kd_ag	Rv2744c	CCP45543	protein_coding	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5
AS1726	EBG00000313388	EBG00000313388-1	lincRNA	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2
AS1890	EBG00000313322	EBG00000313322-1	lincRNA	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
ASdes	EBG00000313364	EBG00000313364-1	lincRNA	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1
ASpks	EBG00000313323	EBG00000313323-1	lincRNA	0	0	0	10	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3
B11	EBG00000313324	EBG00000313324-1	lincRNA	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1
B55	EBG00000313383	EBG00000313383-1	lincRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
C8	EBG00000313354	EBG00000313354-1	lincRNA	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6
F6	EBG00000313378	EBG00000313378-1	lincRNA	0	0	0	5	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2
G2	EBG00000313337	EBG00000313337-1	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MTS0858	EBG00000313338	EBG00000313338-1	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MTS1082	EBG00000313353	EBG00000313353-1	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MTS1338	EBG00000313376	EBG00000313376-1	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MTS2823	EBG00000313318	EBG00000313318-1	lincRNA	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4
MTS2975	EBG00000313375	EBG00000313375-1	lincRNA	0	0	0	9	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4
PE1	Rv0151c	CCP42876	protein_coding	0	1	2	2	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1
PE10	Rv1089	CCP43841	protein_coding	1	0	0	13	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13
PE12	Rv1172c	CCP43928	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PE13	Rv1195	CCP43951	protein_coding	0	0	0	12	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2
PE14	Rv1214c	CCP43970	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
PE15	Rv1386	CCP44145	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
PE16	Rv1430	CCP44189	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
PE17	Rv1646	CCP44411	protein_coding	0	0	1	5	0	0	0	0	3	0	1	0	0	0	0	0	0	0	2
PE18	Rv1788	CCP44554	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3
PE19	Rv1791	CCP44557	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2
